Nr;ImageId;Width;Height;Ratio[W/H]
0;"http%3A%2F%2Frdfh.ch%2F0804%2F--Bk539eQ6qD9zYNU9PoWQ";4571;3345;1.3665171898355755
1;"http%3A%2F%2Frdfh.ch%2F0804%2F--Gzv5WXQW2EqFIFVWvfoQ";4213;3058;1.3776978417266188
2;"http%3A%2F%2Frdfh.ch%2F0804%2F--qTc3COQN6dOZ8ufxd_qg";3536;3518;1.0051165434906197
3;"http%3A%2F%2Frdfh.ch%2F0804%2F-0JOwtwcQlGC4Man4jvVPA";2464;1648;1.4951456310679612
4;"http%3A%2F%2Frdfh.ch%2F0804%2F-0Y0fBXUTp-RSFWxhnHdEA";4020;3925;1.024203821656051
5;"http%3A%2F%2Frdfh.ch%2F0804%2F-0pVg7DuS9utneLYhkc0QQ";4285;6119;0.7002778231737212
6;"http%3A%2F%2Frdfh.ch%2F0804%2F-15iQooIQ_O-Du8JQABvbA";2100;1400;1.5
7;"http%3A%2F%2Frdfh.ch%2F0804%2F-19RJlDbQ7Gbb5vhS2Awfg";4966;3126;1.5886116442738323
8;"http%3A%2F%2Frdfh.ch%2F0804%2F-1EgM1I5TYmXahOfB2tgvg";2100;1400;1.5
9;"http%3A%2F%2Frdfh.ch%2F0804%2F-1N66q9jR36TvJagMjCokw";2019;2380;0.8483193277310924
10;"http%3A%2F%2Frdfh.ch%2F0804%2F-1aphXZlRw2MMDeWIHjpWQ";3511;2399;1.4635264693622343
11;"http%3A%2F%2Frdfh.ch%2F0804%2F-1chIorURfq-beDVqZaQfA";2100;1400;1.5
12;"http%3A%2F%2Frdfh.ch%2F0804%2F-1mGV_wSRDmv8uKHDGMdhA";6437;4136;1.5563346228239845
13;"http%3A%2F%2Frdfh.ch%2F0804%2F-211gJBGSxGX2VjdH2pOgQ";5381;4029;1.3355671382477041
14;"http%3A%2F%2Frdfh.ch%2F0804%2F-24bXdyaQVqKhQCfJKvVwA";5813;5872;0.9899523160762943
15;"http%3A%2F%2Frdfh.ch%2F0804%2F-2YIpB_lQWSHIl1N8EobdQ";5926;4163;1.4234926735527265
16;"http%3A%2F%2Frdfh.ch%2F0804%2F-3N8fLExRBC3KuBTCTMJoQ";3967;2876;1.379346314325452
17;"http%3A%2F%2Frdfh.ch%2F0804%2F-3wR57FESZ-oUUxB-rHW1w";4578;3176;1.4414357682619647
18;"http%3A%2F%2Frdfh.ch%2F0804%2F-3wWZIe8TpCK5s_e2dZqiQ";2066;3002;0.6882078614257162
19;"http%3A%2F%2Frdfh.ch%2F0804%2F-43F7_x-SpeeQ1M07ygaAg";2953;1948;1.5159137577002053
20;"http%3A%2F%2Frdfh.ch%2F0804%2F-4A7X3CWSHCAjX4YDfflbg";5018;3294;1.5233758348512447
21;"http%3A%2F%2Frdfh.ch%2F0804%2F-4R8ess_RtyK64dTNjKuPw";2888;4031;0.7164475316298685
22;"http%3A%2F%2Frdfh.ch%2F0804%2F-4UjTkKRSImerxO5xlCKrA";2583;1751;1.475157053112507
23;"http%3A%2F%2Frdfh.ch%2F0804%2F-4yM9edmRnCRz-dxJDxHCw";2512;1992;1.2610441767068272
24;"http%3A%2F%2Frdfh.ch%2F0804%2F-51wOQYvQLSoxxnmJq9Y8w";6781;5472;1.2392178362573099
25;"http%3A%2F%2Frdfh.ch%2F0804%2F-5EULT4aTw-Y5yiuztO8Bw";6884;5038;1.3664152441445019
26;"http%3A%2F%2Frdfh.ch%2F0804%2F-5WhiSJZQRGkIKApd5VfJA";7462;4822;1.5474906677727085
27;"http%3A%2F%2Frdfh.ch%2F0804%2F-5dH-yZZSUCeDXcGqOxsoQ";4060;4026;1.0084451068057625
28;"http%3A%2F%2Frdfh.ch%2F0804%2F-6-HQUarRKCZykv9IzSdZA";2335;1719;1.358347876672484
29;"http%3A%2F%2Frdfh.ch%2F0804%2F-6Hl0TRSS-e4SDlk0KFDDA";6462;4255;1.518683901292597
30;"http%3A%2F%2Frdfh.ch%2F0804%2F-6JVaC43TUa3JKgdffKoSw";3909;3308;1.1816807738814994
31;"http%3A%2F%2Frdfh.ch%2F0804%2F-6Ksh4A2R8WO6J_CvmgeJA";5026;5033;0.9986091794158554
32;"http%3A%2F%2Frdfh.ch%2F0804%2F-6rfXZ_DTqaIYxM8cmPHSA";2076;3260;0.6368098159509202
33;"http%3A%2F%2Frdfh.ch%2F0804%2F-6ysLdFnR9-wbFqouAfZ1A";4891;3291;1.486174415071407
34;"http%3A%2F%2Frdfh.ch%2F0804%2F-73-edLmTsuPO7M9sHFybQ";8196;4074;2.011782032400589
35;"http%3A%2F%2Frdfh.ch%2F0804%2F-7QTkWCbR-2guW-JweUDrg";1373;1881;0.7299308878256247
36;"http%3A%2F%2Frdfh.ch%2F0804%2F-7hmUMEERqi61UX1SpBETQ";2100;1400;1.5
37;"http%3A%2F%2Frdfh.ch%2F0804%2F-7qiqFUYTTuuYoBoVInpxg";3808;3839;0.9919249804636624
38;"http%3A%2F%2Frdfh.ch%2F0804%2F-8-jvx7NQJ6bu-DdOBx_kA";5622;5639;0.9969852810782054
39;"http%3A%2F%2Frdfh.ch%2F0804%2F-88AJUCmSFGI7q8fk6eADQ";2957;1933;1.5297465080186239
40;"http%3A%2F%2Frdfh.ch%2F0804%2F-8Rf89A-TNu-ZWc4nZu3HQ";2174;1573;1.3820724729815639
41;"http%3A%2F%2Frdfh.ch%2F0804%2F-8c2U0RHRzuUDtfOsT7NBw";1400;2100;0.6666666666666666
42;"http%3A%2F%2Frdfh.ch%2F0804%2F-8nw2VOvQEq-zh1ih5mbiA";5775;3545;1.629055007052186
43;"http%3A%2F%2Frdfh.ch%2F0804%2F-8qt6hEySBSwsOg4Hb2rXw";768;512;1.5
44;"http%3A%2F%2Frdfh.ch%2F0804%2F-9FPCyfeT1KZMO9pldJ48w";4742;3508;1.3517673888255417
45;"http%3A%2F%2Frdfh.ch%2F0804%2F-A2h8v5WT4mRiYeOYR-iyA";2957;1925;1.5361038961038962
46;"http%3A%2F%2Frdfh.ch%2F0804%2F-AL3kE7xS_2Z1D99EwitQw";3790;3808;0.9952731092436975
47;"http%3A%2F%2Frdfh.ch%2F0804%2F-ANo4Px3TmeWfU_5n3Pzuw";4223;2996;1.4095460614152202
48;"http%3A%2F%2Frdfh.ch%2F0804%2F-ASrbCKuQhu0KI9iXTqnMQ";2371;1515;1.565016501650165
49;"http%3A%2F%2Frdfh.ch%2F0804%2F-AUHRza2RYaNKh-vQnCx8Q";1756;1813;0.9685603971318257
50;"http%3A%2F%2Frdfh.ch%2F0804%2F-B7lKkSVR1mOb0oXehVPcw";2390;3460;0.6907514450867052
51;"http%3A%2F%2Frdfh.ch%2F0804%2F-BE8PCXRSWuFnjQ9EgGj8Q";4023;2743;1.4666423623769596
52;"http%3A%2F%2Frdfh.ch%2F0804%2F-BIZAeGsT1Kq9Tgcg8QTqg";2100;1400;1.5
53;"http%3A%2F%2Frdfh.ch%2F0804%2F-BNoZV_TSn2McViOyrwZuw";4961;2256;2.1990248226950353
54;"http%3A%2F%2Frdfh.ch%2F0804%2F-BlzEcTORwSnoF0NVSmvEA";3746;5389;0.6951196882538504
55;"http%3A%2F%2Frdfh.ch%2F0804%2F-C8HuPASQnOSl3Viqwbttg";3266;4300;0.7595348837209303
56;"http%3A%2F%2Frdfh.ch%2F0804%2F-CI7lVIMTGWuFFpj5zVMMw";3504;4806;0.7290886392009988
57;"http%3A%2F%2Frdfh.ch%2F0804%2F-CUdWGgUTluflRwh3PtHTA";7979;5127;1.5562707236200508
